age,health_score,injury_severity,infection_exposure,food_days,water_days,shelter_quality,medical_supplies,weapon_availability,group_size,distance_to_safe_zone,mobility_score,days_since_outbreak,survived
67,60,7,12,6,28,11,22,26,2,7,32,9,1
30,60,6,80,27,2,57,85,26,8,37,56,51,0
76,42,4,30,20,11,66,64,45,2,55,57,24,1
36,90,9,15,22,27,25,88,94,8,71,97,52,0
39,22,2,40,23,27,77,53,44,5,50,25,30,0
18,77,4,89,24,6,11,91,25,9,82,82,16,0
37,51,2,91,17,4,89,100,13,9,21,68,48,1
68,50,9,0,5,30,15,10,47,8,34,28,27,0
17,62,4,11,8,27,52,62,84,9,49,55,33,1
45,26,0,100,28,30,71,21,91,7,27,42,23,0
53,20,5,55,5,25,48,53,14,8,8,98,45,1
17,80,9,49,17,0,48,88,93,6,34,76,19,0
79,33,3,19,16,0,91,84,88,9,18,69,36,1
75,71,3,65,11,14,6,35,50,2,51,78,19,0
36,25,7,35,2,7,14,57,53,3,12,26,22,0
48,29,1,78,26,10,35,19,10,2,86,66,42,0
73,90,3,37,4,13,71,15,74,6,51,94,45,0
37,49,1,21,6,28,73,91,27,3,63,75,33,1
64,40,0,60,9,24,14,55,54,1,40,27,45,0
74,79,9,49,9,22,61,92,68,4,22,55,10,1
57,100,2,95,18,12,17,49,91,5,8,61,47,1
75,93,7,58,24,18,45,89,71,4,28,58,32,1
30,82,5,19,25,11,100,65,25,6,50,84,15,1
77,61,6,35,27,21,60,73,69,3,47,63,39,1
77,70,1,96,3,18,42,12,31,10,56,96,58,0
62,83,5,14,9,25,43,14,47,6,32,99,46,1
77,95,7,61,17,3,98,72,95,10,11,65,8,1
66,75,7,2,2,27,65,26,11,1,21,32,51,0
70,99,3,92,20,3,54,7,69,6,26,56,25,0
79,60,5,90,2,2,85,69,76,8,14,33,18,0
18,51,4,4,4,25,78,99,60,10,79,32,15,1
66,34,8,55,15,5,100,49,33,8,14,31,58,0
22,81,7,30,19,4,38,87,86,1,76,74,59,1
36,46,1,85,12,10,99,66,80,7,100,47,26,1
54,47,6,34,10,24,4,25,44,10,3,41,41,0
33,100,6,70,25,8,56,35,59,10,57,38,44,0
19,83,10,69,12,2,14,20,64,4,7,94,21,1
75,78,0,25,18,28,90,76,70,6,39,49,22,1
29,77,0,0,27,8,15,51,12,6,57,73,46,1
24,21,3,82,5,28,56,10,77,5,65,34,34,0
68,55,4,6,23,11,99,7,80,10,25,49,37,1
17,90,3,35,12,2,81,56,93,9,31,48,54,1
75,32,6,75,27,19,98,45,47,10,86,51,37,0
59,34,2,83,3,16,24,77,48,8,10,49,14,0
23,79,6,86,24,20,21,96,97,6,82,35,4,0
62,41,7,24,21,11,30,1,90,4,77,55,24,0
50,82,5,93,4,24,100,63,57,4,72,67,2,1
51,94,5,58,18,30,33,51,88,9,9,47,1,1
65,93,7,60,4,17,86,64,98,4,79,81,2,1
19,44,7,28,20,3,15,10,72,7,8,75,13,0
17,67,6,94,13,9,69,5,69,6,97,75,27,0
21,62,5,17,30,17,58,95,60,2,99,94,52,1
69,57,5,40,27,29,14,78,25,5,19,36,17,0
19,60,9,18,27,7,81,75,38,3,30,81,57,0
69,64,10,3,3,8,12,63,57,9,9,40,45,0
78,59,5,64,11,18,23,100,26,10,83,56,17,1
33,36,7,40,5,12,12,92,39,1,47,53,5,0
59,76,0,14,18,30,64,54,30,10,46,48,24,1
49,21,4,53,9,24,35,43,2,4,90,87,57,0
77,81,2,63,0,5,48,85,87,4,1,79,57,1
29,28,7,71,22,21,81,13,14,9,3,30,8,1
63,87,10,14,22,6,47,82,53,1,34,79,54,1
30,100,5,78,27,27,96,4,69,2,25,99,54,0
77,36,1,49,15,20,42,98,10,1,30,93,44,1
55,69,6,21,3,5,5,24,29,1,1,53,9,0
68,59,6,17,8,10,80,49,34,1,18,52,18,0
39,77,4,79,27,16,67,72,42,3,33,29,16,1
41,94,7,1,17,18,13,70,60,4,9,79,51,1
75,40,4,35,30,27,29,81,39,10,7,45,32,0
56,37,0,19,28,24,83,1,92,2,30,44,54,0
44,74,8,15,16,11,7,9,86,1,77,21,40,0
30,48,3,66,14,20,53,1,41,5,81,22,39,0
60,43,1,29,18,20,65,59,41,6,13,51,56,1
80,93,3,54,6,23,100,44,2,2,13,20,53,0
24,36,8,65,24,26,3,7,89,3,42,43,41,0
16,37,1,98,17,26,73,57,77,10,74,69,54,0
23,61,3,25,5,12,83,6,82,3,78,62,44,0
78,64,1,56,18,17,59,98,84,2,63,63,46,1
26,36,4,68,20,28,52,86,20,4,69,52,32,0
23,92,2,1,11,6,98,71,72,5,36,57,42,1
50,33,9,55,24,24,73,20,76,8,35,71,48,1
50,68,1,83,2,22,91,96,52,6,46,54,2,1
48,48,8,61,0,27,14,46,43,9,45,36,38,0
20,23,4,33,4,4,99,0,45,3,56,77,43,0
56,39,9,97,0,28,0,11,36,10,87,67,4,0
43,66,4,55,7,15,21,74,37,9,5,62,5,1
22,28,0,54,6,21,90,47,87,4,44,67,37,1
27,96,5,19,14,3,92,93,37,8,28,63,49,1
49,98,6,49,10,29,14,3,10,10,87,52,58,0
48,46,0,24,17,27,73,33,92,7,42,94,37,1
63,34,8,83,13,22,83,86,44,7,98,95,26,0
38,38,7,24,26,0,21,31,63,9,31,21,43,0
77,71,7,52,8,3,49,2,43,10,7,29,9,0
52,45,6,13,4,2,47,91,80,2,7,47,15,0
59,45,4,59,22,28,72,67,61,5,4,66,24,1
50,45,2,42,3,3,50,56,89,3,32,27,24,0
80,65,8,61,11,0,95,75,60,7,28,42,35,0
62,68,6,75,28,11,16,23,89,3,56,67,48,0
18,72,10,68,0,12,82,32,11,5,4,82,41,0
16,22,9,62,29,1,90,2,81,5,8,96,25,1
20,85,9,1,23,27,50,3,8,2,14,56,26,0
29,61,7,53,12,26,36,29,66,1,30,31,23,0
42,38,5,15,0,28,97,69,73,6,3,93,6,1
24,36,10,54,2,8,48,48,1,1,2,100,41,0
30,52,4,93,21,30,58,29,7,9,10,84,27,0
57,95,7,42,7,6,9,71,42,10,70,34,54,1
66,68,2,60,23,12,29,81,17,5,71,99,19,1
78,75,6,37,17,21,84,15,51,1,16,29,31,1
67,82,1,44,24,1,20,52,38,8,70,61,38,0
19,22,2,50,15,0,33,5,30,1,80,45,43,0
38,68,1,41,19,17,72,23,13,4,91,68,32,0
30,74,4,23,19,6,97,91,63,7,76,42,2,1
58,45,6,29,30,17,49,95,96,4,86,83,18,1
44,91,10,36,29,18,75,88,92,5,79,36,28,1
51,71,9,52,15,7,46,27,43,7,22,53,7,0
28,26,10,62,1,22,84,20,59,4,35,76,56,0
47,65,10,10,16,11,83,7,96,5,79,23,23,1
74,65,10,77,9,10,5,35,98,7,87,90,53,0
43,35,9,22,6,26,49,8,1,1,49,88,36,0
57,43,0,79,26,29,99,39,98,3,2,87,24,0
60,80,9,49,9,26,62,84,31,1,66,69,28,0
77,73,8,84,18,8,11,50,35,3,19,86,25,0
72,81,0,54,19,27,40,0,54,2,69,87,39,0
21,20,0,54,26,3,30,62,86,5,4,78,49,1
43,68,9,3,8,6,1,67,62,10,92,97,4,1
43,44,7,96,21,16,15,73,68,5,82,82,45,0
59,29,5,53,29,10,0,25,79,10,41,86,52,0
45,99,5,60,16,26,3,39,39,9,56,45,58,0
77,35,8,77,8,1,46,2,23,8,55,20,19,0
77,77,3,82,8,22,64,8,57,3,31,87,4,0
16,91,7,4,4,30,51,31,27,1,22,97,57,1
42,48,3,99,23,17,46,66,61,5,75,37,13,0
77,25,1,94,6,21,98,3,24,3,48,31,1,0
18,35,10,17,10,28,76,5,6,5,80,57,34,0
42,39,7,43,7,25,49,72,37,9,4,61,7,0
24,99,6,30,24,11,44,25,70,1,21,55,25,1
77,90,3,93,13,8,41,1,85,1,41,35,23,0
52,97,8,20,1,10,94,65,85,9,45,84,30,1
66,62,8,46,9,4,83,84,90,3,89,86,49,1
59,45,7,29,20,25,55,85,96,10,84,58,7,1
39,97,0,54,23,6,70,2,44,5,8,78,54,1
74,90,6,67,15,28,56,34,31,9,9,98,45,1
47,52,4,68,15,0,32,58,31,5,18,57,17,0
67,45,6,40,18,23,27,37,0,3,31,35,33,0
77,64,8,44,26,24,43,32,73,9,35,100,60,1
73,82,1,73,30,30,55,14,44,7,30,93,2,0
67,86,10,90,10,28,43,74,63,7,18,30,38,0
27,71,3,79,5,4,83,73,67,8,83,47,44,0
54,87,3,29,5,5,95,99,92,5,41,96,13,1
17,45,1,76,6,12,72,13,6,2,24,99,52,0
18,94,2,99,15,10,33,65,37,9,86,21,52,0
71,21,10,84,12,7,13,44,69,3,48,39,32,0
74,33,7,44,26,19,67,47,52,2,14,95,22,0
17,49,8,44,2,1,28,43,74,10,19,91,9,0
17,68,5,78,23,14,78,36,72,10,60,57,17,1
69,31,9,83,23,9,16,28,29,5,93,75,18,0
16,63,1,83,8,7,82,98,21,8,22,58,40,0
34,52,1,44,23,1,8,83,57,3,30,50,40,0
17,32,6,54,2,20,26,84,72,6,15,99,27,1
68,97,7,58,5,14,48,33,54,9,21,42,11,0
59,45,7,4,24,28,78,58,45,2,26,53,54,0
47,40,5,31,16,5,36,42,96,8,100,36,54,0
47,47,9,5,2,4,27,32,25,10,12,43,28,0
70,67,7,93,1,21,49,18,63,7,7,54,8,0
71,59,0,25,11,21,54,7,79,3,75,42,50,0
32,85,8,36,23,2,3,30,8,1,84,27,18,0
53,92,0,12,5,10,84,10,86,6,35,73,13,1
39,98,2,92,9,10,97,7,14,2,68,40,33,0
26,96,8,68,10,15,18,24,18,3,2,38,15,0
31,42,10,24,15,2,36,19,15,5,20,50,22,0
74,100,4,12,26,8,3,37,24,8,47,69,38,0
18,67,8,87,15,2,36,6,98,2,84,90,30,0
35,21,8,94,23,18,50,76,50,6,12,43,6,0
74,39,5,19,17,10,31,38,76,1,53,65,45,1
51,78,10,71,26,13,44,73,45,7,17,27,59,0
34,65,0,59,21,1,11,71,6,4,18,96,34,0
34,22,9,72,22,6,40,19,33,1,24,22,55,0
35,74,6,20,23,9,55,80,57,9,72,53,19,1
67,31,5,60,8,9,79,10,77,9,37,96,49,1
48,59,8,83,20,19,13,15,22,3,30,76,33,0
55,85,6,78,26,0,53,100,22,6,84,77,14,1
54,97,10,25,18,5,62,41,16,7,52,54,48,0
16,35,3,53,1,20,64,95,12,4,23,40,47,1
26,53,6,41,23,13,57,89,26,6,37,84,41,1
72,63,1,10,0,26,95,51,65,9,74,85,19,1
65,25,5,36,25,1,20,36,100,10,97,76,40,0
38,96,5,10,30,5,3,51,29,6,24,61,15,1
46,83,1,26,15,0,72,8,3,7,100,62,10,1
57,41,3,93,21,2,45,34,93,6,80,45,55,0
22,37,7,82,17,3,85,66,66,7,50,86,2,1
31,31,7,33,2,12,11,94,13,1,92,45,50,0
75,71,7,37,23,2,29,6,10,6,76,27,52,0
17,70,7,60,0,14,93,1,39,9,20,66,2,1
16,90,0,86,5,12,95,24,86,3,47,56,21,1
63,67,1,52,18,21,59,75,95,6,18,91,12,1
27,38,3,64,21,10,99,93,2,4,26,37,10,1
52,25,8,2,18,3,70,93,0,7,71,95,12,0
47,46,2,66,10,29,80,92,8,7,43,55,39,0
24,72,5,27,26,16,64,40,72,9,47,21,2,1
34,67,6,13,7,4,13,74,75,4,85,22,57,0
63,26,7,51,4,20,43,51,0,8,43,53,1,0
18,78,6,29,19,24,25,86,15,8,32,65,2,1
35,88,2,57,8,23,90,80,93,8,7,81,23,1
39,30,5,53,14,30,15,76,71,8,87,89,28,1
69,34,4,68,20,7,6,96,45,6,84,76,53,0
48,83,9,14,27,20,31,64,9,8,84,29,17,0
39,22,3,37,13,23,88,76,32,6,32,37,52,1
51,88,0,77,3,29,94,37,40,10,90,52,40,1
53,42,6,13,23,9,15,66,50,2,100,26,21,0
40,72,7,56,23,6,77,79,21,3,88,64,44,0
33,56,1,58,7,16,88,41,15,6,65,48,34,0
69,28,6,7,19,27,61,70,82,7,58,57,9,1
50,34,5,71,28,6,29,53,74,4,53,58,17,0
76,22,4,18,16,26,70,66,61,1,92,44,49,1
56,89,3,31,1,23,11,77,52,4,90,36,42,1
48,36,1,94,19,18,66,63,74,6,34,80,45,0
48,45,9,28,15,8,90,79,13,8,90,70,32,0
29,40,5,40,9,23,45,3,58,4,100,56,5,0
36,91,4,74,1,1,82,30,25,10,69,86,14,0
63,40,1,44,10,21,42,12,43,1,56,43,46,0
35,30,9,12,9,19,100,26,19,5,66,68,47,0
23,57,6,26,29,18,54,58,83,7,32,40,25,1
22,91,5,18,29,26,44,64,4,6,98,94,22,0
32,54,10,25,18,5,59,63,64,3,50,76,5,1
48,33,8,52,24,9,70,24,10,7,94,60,54,0
63,33,10,50,30,12,79,36,46,4,24,36,38,0
74,29,9,36,24,30,31,74,9,5,92,40,9,0
37,31,4,8,13,24,7,72,60,7,46,87,31,1
45,57,8,91,30,1,76,70,91,2,3,83,41,0
53,53,8,95,10,9,61,13,44,4,10,63,21,1
66,60,0,51,8,9,74,93,46,4,6,47,36,0
69,29,4,53,6,25,19,23,33,6,98,55,1,0
23,36,8,2,14,4,17,66,12,7,95,56,22,0
42,36,6,95,19,21,100,47,88,4,52,63,23,0
42,86,5,68,16,3,5,90,22,10,50,69,23,1
36,81,5,7,2,22,83,64,35,1,58,74,15,1
45,20,10,13,14,1,95,37,62,1,52,29,46,1
43,31,6,2,13,6,28,89,75,5,13,57,1,1
79,23,0,23,7,17,3,69,46,1,59,68,6,1
76,61,3,12,3,16,70,58,65,3,39,91,40,1
63,32,0,42,25,10,42,11,83,9,53,21,35,0
34,23,5,28,9,20,83,53,79,3,58,63,17,0
19,88,3,71,1,17,33,50,13,3,20,54,23,1
50,38,0,50,13,7,99,37,52,9,63,40,20,0
79,21,8,41,7,27,70,45,65,5,96,76,28,0
64,31,3,30,22,27,32,98,48,8,10,42,37,1
32,100,5,62,26,11,14,9,15,10,26,51,18,0
59,93,6,25,9,23,95,8,67,9,19,90,7,1
45,25,7,17,24,0,85,86,42,6,93,52,49,0
61,27,10,81,17,19,39,93,76,7,61,36,47,0
21,70,8,56,14,29,92,51,64,7,77,91,20,1
52,30,8,6,4,24,88,50,8,7,34,61,24,1
39,82,7,47,21,20,4,21,20,4,84,36,16,0
61,76,9,79,12,11,77,72,81,2,44,67,13,1
68,31,10,59,17,26,49,82,95,2,18,67,28,0
75,92,2,32,30,25,98,71,97,7,98,76,7,1
78,21,1,2,1,28,65,67,83,10,72,80,15,1
47,27,4,3,12,5,88,4,42,7,16,63,23,0
48,30,0,99,30,2,53,82,65,10,87,42,23,0
33,72,2,3,29,4,79,81,3,7,96,95,60,1
40,29,0,41,13,13,45,28,6,8,77,72,31,1
69,27,2,8,9,11,79,82,85,3,26,52,5,1
73,55,3,50,29,12,10,5,83,5,65,75,27,0
61,95,6,16,3,12,48,68,57,6,66,47,44,1
39,33,4,16,14,28,98,57,98,8,77,42,60,0
47,73,4,96,7,16,22,42,3,8,27,82,10,0
62,40,0,19,14,23,54,68,19,10,4,26,51,0
38,69,7,13,13,26,4,71,34,3,51,21,42,1
42,58,3,21,30,14,63,90,96,4,84,84,7,1
17,39,9,51,28,5,34,36,58,6,3,23,56,0
32,26,4,26,26,11,92,57,84,4,87,27,32,0
48,28,1,42,20,1,68,36,44,10,66,68,23,0
24,20,0,2,8,3,53,81,13,4,16,48,54,0
58,45,8,87,19,19,2,25,94,5,74,74,47,0
63,57,1,93,2,24,5,41,21,10,28,56,9,0
54,57,5,7,25,24,86,15,47,7,44,25,29,0
57,80,0,85,14,20,55,21,29,2,18,43,27,0
41,63,0,88,23,11,1,22,28,2,2,98,38,0
65,63,8,9,16,2,81,46,35,10,78,59,21,1
40,93,3,28,24,16,93,66,41,9,44,31,43,1
39,81,8,39,15,5,37,2,28,4,20,83,6,1
28,25,10,64,3,23,55,11,6,5,56,65,26,0
75,36,4,20,10,16,4,22,31,3,23,33,20,0
22,70,6,23,24,26,45,10,12,2,60,46,15,0
72,57,0,72,7,16,10,51,12,10,71,56,45,0
51,43,5,59,2,30,64,49,53,8,45,96,38,0
60,70,7,25,18,10,9,56,13,4,47,81,20,0
35,29,0,8,13,22,40,63,5,1,78,86,53,0
80,91,8,19,8,6,43,45,15,6,37,99,15,1
23,40,2,55,2,1,89,28,40,6,8,95,29,0
31,89,0,98,3,18,32,69,51,2,5,33,6,1
29,76,0,35,24,1,90,45,84,2,23,58,16,1
30,58,10,35,27,21,55,15,15,8,10,24,1,0
47,52,5,72,3,28,11,97,4,7,27,95,6,0
78,78,10,21,10,12,1,50,23,2,99,45,16,0
66,37,5,0,18,23,0,100,42,10,1,100,54,0
40,75,0,68,29,23,64,10,64,1,71,72,33,0
73,76,2,72,15,15,32,10,9,8,8,82,7,1
78,95,6,36,22,30,85,62,58,10,11,30,60,1
77,67,9,82,21,16,75,52,34,2,98,52,10,1
37,61,2,71,16,10,35,88,30,5,28,60,53,0
73,46,2,95,29,8,20,57,78,6,34,59,8,0
73,93,2,12,9,26,83,18,10,10,43,65,21,1
64,71,6,83,23,23,35,31,8,1,84,23,26,0
67,61,3,99,16,8,25,49,65,2,28,30,37,0
57,51,3,42,15,28,46,71,43,10,49,100,18,1
30,45,2,36,19,13,94,54,93,4,61,46,4,1
69,44,9,93,21,12,0,75,15,2,37,27,20,0
75,94,10,73,5,24,37,40,47,6,3,40,48,0
23,42,8,94,6,10,13,98,52,4,9,24,42,0
68,76,1,24,13,11,89,69,64,3,86,81,58,1
75,71,3,92,10,21,45,20,47,6,89,51,48,0
20,50,7,87,11,2,41,25,69,9,2,77,40,1
21,83,5,20,13,0,6,0,45,8,23,91,19,0
62,90,6,40,4,26,54,80,74,2,51,46,33,1
70,52,6,72,4,7,55,98,32,3,17,45,23,0
55,21,1,41,19,25,75,26,51,2,25,59,9,0
67,37,3,41,21,18,62,49,80,10,76,48,38,1
31,66,9,1,22,12,23,65,54,7,27,92,45,1
28,52,9,67,25,6,82,99,50,9,20,26,45,0
45,54,5,7,14,12,72,64,97,1,73,40,18,1
34,70,2,95,25,25,98,9,39,3,87,99,46,1
32,37,8,60,0,5,3,94,24,6,36,86,2,0
78,91,3,13,24,2,41,36,62,4,28,29,48,0
34,49,9,76,30,5,95,68,21,10,29,81,17,0
73,63,1,20,29,27,69,40,89,10,42,27,54,1
70,72,5,23,23,2,27,45,90,1,58,23,16,0
77,29,0,49,22,12,91,76,37,9,32,48,46,0
38,71,5,81,8,30,39,44,8,7,12,31,45,0
24,68,9,44,2,12,50,87,36,7,30,70,48,1
27,30,0,63,25,29,28,26,4,1,60,38,24,0
16,85,7,63,3,24,41,64,81,9,11,50,31,1
73,77,4,25,15,12,68,83,21,8,84,45,1,1
16,55,5,31,6,0,4,7,11,10,11,25,28,0
49,52,1,56,21,28,100,66,59,5,80,48,49,1
63,66,1,52,13,7,40,48,43,4,99,36,33,0
16,32,8,32,15,4,60,95,21,1,50,39,42,0
31,59,2,51,28,30,54,88,5,9,1,61,37,1
76,87,5,94,17,19,27,88,99,8,89,66,39,0
79,61,9,17,15,16,40,13,26,2,27,93,4,0
78,38,4,34,15,8,8,61,54,4,32,89,1,0
37,38,3,11,1,12,28,42,14,4,6,21,33,0
41,77,9,50,9,24,77,26,63,7,41,93,10,1
31,42,1,88,6,12,37,95,16,3,36,56,3,0
66,73,7,94,24,4,61,26,2,8,39,38,37,0
72,99,9,9,26,13,53,67,9,7,87,60,45,1
44,84,6,51,14,10,51,74,62,10,93,35,21,0
62,31,10,33,27,24,33,47,62,4,30,79,57,1
77,43,1,66,8,30,36,66,88,9,86,76,9,0
31,53,5,38,6,25,48,24,61,6,57,83,57,0
63,72,7,7,26,13,41,63,84,3,11,24,40,0
54,27,6,95,23,24,13,23,8,7,90,37,43,0
48,37,0,28,15,6,81,8,23,6,87,91,57,0
38,76,4,21,25,23,32,7,31,8,3,32,24,1
